travel_id,travel_dt,State,Rate,Miles,Deducted,Final_Mile,Reimbursement
722887-202602-6-10996302-249260-20260123,1/23/2026,IL,0.7,15.048962990102313,0,15.048962990102313,10.534274093071618
722887-202602-6-10996302-249260-20260123,1/23/2026,IN,0.3,17.900260203973993,0,17.900260203973993,5.370078061192197
722887-202602-6-10996540-253592-20260122,1/22/2026,IL,0.7,70.0899239651262,0,70.0899239651262,49.06294677558834
722887-202602-6-10996540-253592-20260122,1/22/2026,IN,0.3,215.21284739214997,0,215.21284739214997,64.56385421764499
722887-202602-6-10996540-253592-20260122,1/22/2026,KY,0.3,132.9873137908352,0,132.9873137908352,39.89619413725056
722887-202602-6-10996540-253592-20260122,1/22/2026,TN,0.3,53.39728409102244,0,53.39728409102244,16.019185227306732
722887-202603-6-10989500-234105-20260116,1/16/2026,IL,0.7,13.222325380590162,13.222325380590162,0,0
722887-202603-6-10989500-234105-20260116,1/16/2026,KY,0.3,329.4211369488176,0,329.4211369488176,98.82634108464528
722887-202603-6-10989500-234105-20260116,1/16/2026,WV,0.3,26.771868015132927,16.777674619409837,9.99419339572309,2.998258018716927
722887-202603-6-10989500-234105-20260120,1/20/2026,IL,0.7,1.542070373907393,1.542070373907393,0,0
722887-202603-6-10989500-234105-20260120,1/20/2026,IL,0.7,1.5376813364315909,0.2079296260926069,1.329751710338984,0.9308261972372888
722887-202603-6-10989500-237703-20260118,1/18/2026,IL,0.7,1.59934977409342,1.59934977409342,0,0
722887-202603-6-10989500-237703-20260118,1/18/2026,KY,0.3,48.855525843969964,0,48.855525843969964,14.656657753190988
722887-202603-6-10989500-237703-20260118,1/18/2026,TN,0.3,85.25048965673794,28.40065022590658,56.84983943083136,17.054951829249408
722887-202603-6-10997065-254702-20260119,1/19/2026,GA,0.3,112.45131407244205,0,112.45131407244205,33.73539422173261
722887-202603-6-10997065-254702-20260119,1/19/2026,IL,0.7,3.887680156482752,3.887680156482752,0,0
722887-202603-6-10997065-254702-20260119,1/19/2026,IL,0.7,104.74410477179407,26.11231984351725,78.63178492827683,55.04224944979378
722887-202603-6-10997065-254702-20260119,1/19/2026,IN,0.3,87.44570215040096,0,87.44570215040096,26.233710645120286
722887-202603-6-10997065-254702-20260119,1/19/2026,KY,0.3,76.30571834090385,0,76.30571834090385,22.891715502271154
722887-202603-6-10997065-254702-20260119,1/19/2026,TN,0.3,111.56890382410224,0,111.56890382410224,33.47067114723067
722887-202603-6-10997065-254702-20260119,1/19/2026,TN,0.3,39.14858533579542,0,39.14858533579542,11.744575600738624
723056-202603-6-7460654-206877-20260123,1/23/2026,IL,0.7,125.48135654512839,53.49,71.99135654512838,50.393949581589865
723056-202603-6-7460654-206877-20260123,1/23/2026,KY,0.3,80.70087679326895,0,80.70087679326895,24.210263037980685
723056-202603-6-7460654-206877-20260123,1/23/2026,MO,0.3,6.405273625456575,0,6.405273625456575,1.9215820876369722
723056-202603-6-7460654-206877-20260123,1/23/2026,TN,0.3,11.731588461530627,0,11.731588461530627,3.519476538459188
723056-202603-6-7460654-206877-20260123,1/23/2026,TN,0.3,8.70122345165787,0,8.70122345165787,2.610367035497361
723056-202603-6-7460654-206877-20260123,1/23/2026,TN,0.3,5.00207201032959,0,5.00207201032959,1.5006216030988768
723159-202603-6-10495090-252048-20260123,1/23/2026,IL,0.7,22.408312444042007,22.408312444042007,0,0
723159-202603-6-10495919-252048-20260120,1/20/2026,IL,0.7,32.343884451368076,0,32.343884451368076,22.64071911595765
723159-202603-6-10495919-252048-20260120,1/20/2026,IN,0.3,10.858061638761725,0,10.858061638761725,3.2574184916285174
723159-202603-6-10495919-252048-20260121,1/21/2026,IL,0.7,2.9648741514464274,0,2.9648741514464274,2.075411906012499
723159-202603-6-10497845-243063-20260123,1/23/2026,CT,0.3,18.892532679640023,0,18.892532679640023,5.6677598038920065
723159-202603-6-10497845-243063-20260123,1/23/2026,CT,0.3,18.90844705908804,0,18.90844705908804,5.6725341177264115
723159-202603-6-10497845-243063-20260123,1/23/2026,MA,0.7,60.873370126497285,60,0.8733701264972851,0.6113590885480995
723159-202603-6-10497845-243063-20260123,1/23/2026,MA,0.7,92.65453844430175,0,92.65453844430175,64.85817691101123
723159-202603-6-10497845-243063-20260123,1/23/2026,MA,0.7,92.65480206157208,0,92.65480206157208,64.85836144310045
723159-202603-6-10497845-243063-20260123,1/23/2026,RI,0.3,30.843463598548457,0,30.843463598548457,9.253039079564537
723159-202603-6-10497845-243063-20260123,1/23/2026,RI,0.3,30.84320576811009,0,30.84320576811009,9.252961730433027
723159-202603-6-10497845-244892-20260123,1/23/2026,CT,0.3,18.930056373860747,0,18.930056373860747,5.679016912158224
723159-202603-6-10497845-244892-20260123,1/23/2026,CT,0.3,18.886903776071,0,18.886903776071,5.6660711328213
723159-202603-6-10497845-244892-20260123,1/23/2026,MA,0.7,59.55905630184874,59.55905630184874,0,0
723159-202603-6-10497845-244892-20260123,1/23/2026,MA,0.7,92.62631391853945,0.44094369815125845,92.1853702203882,64.52975915427173
723159-202603-6-10497845-244892-20260123,1/23/2026,MA,0.7,92.59555172701207,0,92.59555172701207,64.81688620890844
723159-202603-6-10497845-244892-20260123,1/23/2026,RI,0.3,30.839742532023298,0,30.839742532023298,9.25192275960699
